日期,模型,计划购电费,调整费,紧急购电费,紧急购电量,总费用,末SOC,阶段,v_term,价格预测MAE,计划紧急购电量,计划紧急购电费
2025-01-01,A,0.0,0.0,432888.7998430083,92035.17001666666,432888.7998430083,6000.0,init,0.0,0.0,0.0,0.0
2025-01-02,A,75936.92746654351,0.0,9983.703280074085,2040.3871382716065,85920.6307466176,10654.339575,init,0.5328444444444443,0.038234027777777777,0.0,0.0
2025-01-03,A,57731.93873605666,0.0,1.731592647047364e-13,2.842170943040401e-14,57731.93873605666,10800.0,init,0.5308481481481482,0.18821631944444445,0.0,0.0
2025-01-04,A,22850.64090922327,0.0,4354.962438602145,1273.180033127515,27205.603347825418,10556.64123,init,0.4977197530864197,0.13456041666666665,0.0,0.0
2025-01-05,A,29643.091535145286,0.0,225914.64854117262,45278.50126831275,255557.74007631792,9185.410364999998,init,0.47875925925925933,0.09554913194444446,0.0,0.0
2025-01-06,A,73948.75395357498,0.0,7144.1136117166725,1446.785133333334,81092.86756529166,10718.956319999998,init,0.4920933333333334,0.08167111111111112,0.0,0.0
2025-01-07,A,73050.48469322486,0.0,16763.099657586856,3635.901300411527,89813.58435081173,10710.055154999998,init,0.4989623456790123,0.06666828703703703,0.0,0.0
2025-01-08,A,73538.83093312179,0.0,5613.071743441678,1386.9447333333428,79151.90267656346,10757.449425000003,init,0.500173015873016,0.04950793650793652,0.0,0.0
2025-01-09,A,70970.1335895379,0.0,12827.179073980002,3029.2258781893106,83797.3126635179,10747.30257,init,0.4981608465608466,0.05736785714285713,0.0,0.0
2025-01-10,A,55408.42101424333,0.0,1.6980550299194877e-13,2.842170943040401e-14,55408.42101424333,10800.0,init,0.4987703703703703,0.13991765873015874,0.0,0.0
2025-01-11,A,22576.063506598184,0.0,2517.4725326999987,818.7983000000005,25093.536039298182,10399.662464999998,init,0.4961656084656085,0.1352948412698413,0.0,0.0
2025-01-12,A,29635.811240145988,0.0,225853.41851221066,44798.23118106995,255489.22975235665,9087.386535,init,0.4964333333333332,0.06021696428571429,0.0,0.0
2025-01-13,A,73003.34919488055,0.0,3317.7264584083314,859.4926833333332,76321.07565328888,10597.352669999998,init,0.49465661375661374,0.05179861111111111,0.0,0.0
2025-01-14,A,69210.99023681255,0.0,9912.977149568691,2054.8338139917614,79123.96738638123,10640.392049999999,init,0.4953925925925925,0.054164980158730155,0.0,0.0
2025-01-15,A,70706.48991908037,0.0,10908.626854505677,2231.8968162551496,81615.11677358605,10753.904564999999,init,0.4971100529100528,0.05923402777777777,0.0,0.0
2025-01-16,A,70962.81459975924,0.0,7732.692088523845,1543.3352714285784,78695.50668828309,10581.015705,init,0.497957671957672,0.05244037698412697,0.0,0.0
2025-01-17,A,22705.862128156718,0.0,1318.2320196442695,594.6481724868521,24024.094147800988,10730.992832598944,init,0.4971534391534391,0.14103988095238093,0.0,0.0
2025-01-18,A,22364.964316605103,0.0,2140.659233891168,810.7975268167787,24505.62355049627,10701.217249512974,init,0.499037037037037,0.14380089285714287,0.0,0.0
2025-01-19,A,70156.48969427407,0.0,7788.621096955907,1575.8997324484587,77945.11079122998,10745.405753208855,init,0.5005740740740742,0.05702936507936508,0.0,0.0
2025-01-20,A,69866.52767657035,0.0,4985.23834777996,995.6113404350515,74851.7660243503,10721.435290607207,init,0.501367724867725,0.05355873015873015,0.0,0.0
2025-01-21,A,68753.55725197669,0.0,2114.5711450475355,528.8639545946389,70868.12839702422,10779.938959279001,init,0.5010121693121693,0.044362301587301596,0.0,0.0
2025-01-22,A,68536.68791480381,0.0,9437.622162555292,2093.198516630551,77974.3100773591,10586.078773143092,init,0.5011037037037036,0.0640277777777778,0.0,0.0
2025-01-23,A,69388.85430300998,0.0,11269.89308364943,2600.761667101345,80658.74738665941,10655.535282341081,init,0.5011021164021164,0.06664623015873015,0.0,0.0
2025-01-24,A,20300.29671940201,0.0,1270.2637315911284,546.7535699694763,21570.560450993136,10649.89269157872,init,0.501778835978836,0.14937162698412695,0.0,0.0
