日期,模型,计划购电费,调整费,紧急购电费,紧急购电量,总费用,末SOC,阶段,计划紧急购电量,计划紧急购电费
2025-01-01,A,0.0,0.0,366613.56615685835,92035.17001666666,366613.56615685835,6000.0,init,0.0,0.0
2025-01-02,A,63763.212383179496,0.0,7673.8246204357965,2031.5716716049367,71437.03700361529,10025.448671111111,init,0.0,0.0
2025-01-03,A,62592.717478159255,0.0,0.0,0.0,62592.717478159255,10800.0,init,0.0,0.0
2025-01-04,A,25620.101808035924,0.0,4716.420235187681,1273.1800331275876,30336.522043223606,9958.349187037036,init,0.0,0.0
2025-01-05,A,25750.10243609352,0.0,182479.10976966197,45158.412478310696,208229.2122057555,8558.511815185186,init,0.0,0.0
2025-01-06,A,62036.592498336555,0.0,5247.887545258327,1398.088716666665,67284.48004359489,10116.492809259258,init,0.0,0.0
2025-01-07,A,60992.72710281059,0.0,12125.54879304154,3585.3369497942326,73118.27589585213,10232.597537037036,init,0.0,0.0
2025-01-08,A,62174.271939667924,0.0,4442.515563099992,1348.8516333333314,66616.78750276791,10227.11604,init,0.0,0.0
2025-01-09,A,60199.53211353755,0.0,9983.934316058796,3031.9255113559743,70183.46642959634,10003.817253888888,init,0.0,0.0
2025-01-10,A,61351.59817849443,0.0,0.0,0.0,61351.59817849443,10800.0,init,0.0,0.0
2025-01-11,A,25604.362619091167,0.0,2750.6231440666606,818.7982999999992,28354.985763157827,9832.336335,init,0.0,0.0
2025-01-12,A,25679.761300371294,0.0,181285.08809252683,44755.77141060494,206964.84939289812,8455.086756666667,init,0.0,0.0
2025-01-13,A,61733.91109658534,0.0,2596.6276889284145,784.8438118333335,64330.53878551375,9989.435511666667,init,0.0,0.0
2025-01-14,A,59031.393607783015,0.0,7985.986812644744,2019.2772061728383,67017.38042042775,10265.803453703702,init,0.0,0.0
2025-01-15,A,59799.7630427712,0.0,8201.85777637424,2158.536790465024,68001.62081914544,10146.49893,init,0.0,0.0
2025-01-16,A,60674.80507055906,0.0,6243.555721597584,1562.622064285706,66918.36079215664,10159.281045370371,init,0.0,0.0
2025-01-17,A,25788.57956920484,0.0,1335.3826874040637,594.6481724868354,27123.962256608906,10229.167488147223,init,0.0,0.0
2025-01-18,A,25366.218990079902,0.0,2222.2478628673693,810.7975268167894,27588.466852947273,10226.629829849115,init,0.0,0.0
2025-01-19,A,59493.02679026895,0.0,5973.661062052551,1497.252239082295,65466.687852321505,10144.266267806472,init,0.0,0.0
2025-01-20,A,59668.33055483397,0.0,4094.951053643319,984.7052683765089,63763.28160847729,10265.696097068068,init,0.0,0.0
2025-01-21,A,59765.75096791061,0.0,1746.0853304980315,521.8313653270757,61511.83629840864,10407.218151222189,init,0.0,0.0
2025-01-22,A,58511.53972525422,0.0,7698.886976094003,2065.54939822662,66210.42670134822,9978.49381051041,init,0.0,0.0
2025-01-23,A,58618.67946164961,0.0,8247.969466344959,2590.3726350024554,66866.64892799457,10051.244447539853,init,0.0,0.0
2025-01-24,A,23895.477858270355,0.0,1423.1764379652586,546.7535699694841,25318.654296235614,10235.390735394223,init,0.0,0.0
2025-01-25,A,23963.597284574877,0.0,884.7367255020308,409.5901690884477,24848.334010076906,10203.494231851502,init,0.0,0.0
2025-01-26,A,57575.46238119855,0.0,7317.858682519083,2324.4720701672186,64893.32106371764,10245.10910494315,init,0.0,0.0
2025-01-27,A,58055.21561785682,0.0,1907.666618981716,543.4398430867091,59962.88223683854,10078.21757394843,init,0.0,0.0
2025-01-28,A,57429.74443735918,0.0,7180.793957066924,2106.944617459676,64610.538394426105,10233.451625169884,init,0.0,0.0
2025-01-29,A,57922.57319214468,0.0,564.8868076186337,182.11987069046108,58487.45999976331,10405.172223525798,init,0.0,0.0
2025-01-30,A,56908.623227303586,0.0,4022.9881518271177,837.4422473979336,60931.6113791307,10212.013504385364,init,0.0,0.0
2025-01-31,A,22434.675523929443,0.0,2575.1415020940244,1014.8888779341947,25009.81702602347,10376.636445719581,init,0.0,0.0
2025-02-01,A,22402.330574309228,0.0,370.7001708138098,101.29064592704648,22773.030745123036,10598.471149675399,calibration,0.0,0.0
2025-02-02,A,56302.33460779428,0.0,760.6093178938696,144.05243936065327,57062.943925688145,10560.525065418624,calibration,0.0,0.0
2025-02-03,A,55248.067568108905,0.0,1138.4054275115445,304.11390050722235,56386.47299562045,10570.012520979959,calibration,0.0,0.0
2025-02-04,A,55224.27398118706,0.0,3317.8931486342576,856.7992299686124,58542.16712982132,10553.606427890241,calibration,0.0,0.0
2025-02-05,A,52133.73442392791,0.0,8262.758391104591,2268.5777186370938,60396.4928150325,10248.873395649167,calibration,0.0,0.0
2025-02-06,A,52751.40041281768,0.0,4745.5282396849725,1559.666754546031,57496.928652502655,10128.07726149149,calibration,0.0,0.0
2025-02-07,A,20154.90232028846,0.0,753.6035340763106,253.62027189282472,20908.505854364772,10169.641631779949,calibration,0.0,0.0
2025-02-08,A,19100.22524903485,0.0,3007.750850119161,973.5846355222217,22107.976099154013,10164.18187335526,calibration,0.0,0.0
2025-02-09,A,50917.50419910587,0.0,10331.647313866051,3019.7232035791026,61249.15151297192,10097.223090593945,calibration,0.0,0.0
2025-02-10,A,51666.6221083373,0.0,2585.399593851601,784.2620787366986,54252.021702188904,10028.696089680823,calibration,0.0,0.0
2025-02-11,A,50690.92328030027,0.0,5188.347410701634,1136.494044383061,55879.270691001904,10180.236750426247,calibration,0.0,0.0
