日期,模型,计划购电费,调整费,紧急购电费,紧急购电量,总费用,末SOC,阶段,计划紧急购电量,计划紧急购电费
2025-01-01,none,0.0,0.0,366613.56615685835,92035.17001666666,366613.56615685835,6000.0,init,0.0,0.0
2025-01-02,none,65502.51677395027,0.0,7481.679815828535,2057.4883987654293,72984.1965897788,10025.448671111111,init,0.0,0.0
2025-01-03,none,61859.710766730685,0.0,0.0,0.0,61859.710766730685,10800.0,init,0.0,0.0
2025-01-04,none,25007.79001585185,0.0,5021.16841520446,1596.7768648148153,30028.958431056308,9958.349187037036,init,0.0,0.0
2025-01-05,none,25500.224771155554,0.0,184059.76412372556,45379.05887890946,209559.9888948811,8558.511815185186,init,0.0,0.0
2025-01-06,none,62419.43830792399,0.0,3678.061097769442,1038.398127777778,66097.49940569344,10116.492809259258,init,0.0,0.0
2025-01-07,none,59530.17537370636,0.0,16797.798608191973,4834.037227503428,76327.97398189834,10232.597833333331,init,0.0,0.0
2025-01-08,none,65247.11393611398,0.0,3577.9118155027636,1168.5437166666622,68825.02575161675,10227.11604,init,0.0,0.0
2025-01-09,none,60094.50479259694,0.0,9478.48598720181,2717.2157974670754,69572.99077979875,10003.817253888888,init,0.0,0.0
2025-01-10,none,65050.279006997676,0.0,0.0,0.0,65050.279006997676,10800.0,init,0.0,0.0
2025-01-11,none,25143.325270030557,0.0,6397.590327044764,1973.0507524691457,31540.91559707532,9832.336335,init,0.0,0.0
2025-01-12,none,26585.210097493815,0.0,176129.0038624943,42986.05536076578,202714.21395998812,8455.086756666667,init,0.0,0.0
2025-01-13,none,62492.28934012931,0.0,2914.5000075395324,890.4238951666682,65406.78934766884,9989.435511666667,init,0.0,0.0
2025-01-14,none,60824.87127011575,0.0,4592.069938237491,1202.7305527777767,65416.94120835324,10265.803453703702,init,0.0,0.0
2025-01-15,none,58178.358866013456,0.0,17831.318885641398,4773.083106755838,76009.67775165485,10146.49893,init,0.0,0.0
2025-01-16,none,60439.95500175298,0.0,13957.53631026293,3477.9147062188163,74397.4913120159,9999.412269074071,init,1.8189894035458565e-12,7.929224921099375e-12
2025-01-17,none,27534.963136870967,0.0,20.138140681581234,6.51969593868921,27555.10127755255,10190.336692014236,init,-2.1085355683680974e-13,-4.600235747886926e-13
2025-01-18,none,29142.559400051254,0.0,67.49041376569413,13.855556100532567,29210.04981381695,9940.023766467546,init,7.361151688201067e-13,1.5947935132487613e-12
